WW1USA,USA,20150930,-2
AC9HB,USA,-2,-2
WK1J,USA,20150919,20151005
KJ4UL,USA,20151008,-2
W5DMT,USA,-2,20151018
AA0ZP,USA,20150917,-2
AA9ZB,USA,20150917,-2
W6MWS,USA,-2,-2
KG8WL,USA,20150917,-2
K8NY,USA,20151215,-2
K2B,USA,20151105,-2
WN1F,USA,20151112,-2
N6WKZ,USA,20150927,20151005
KU8F,USA,20151104,-2
N4UP,USA,20151119,20151119
K6CKS,USA,20151228,-2
WB0YBZ,USA,20151104,-2
PR7CPK,Brazil,20151228,-2
KB3PNI,USA,-2,-2
KC2LXD,USA,20151106,-2
K1DWE,USA,-2,-2
N4DLT,USA,20151107,20151018
VE3WXU,Canada,20160709,-2
KA4RGF,USA,20151001,20151005
KB0SNE,USA,20151001,-2
ND8F,USA,-2,-2
KM4LLV,USA,20151104,20151022
N6O,USA,-2,-2
AA6PW,USA,20151109,-2
W6R,USA,20151113,-2
N1F,USA,20151130,-2
N4F,USA,-2,-2
W2CCW,USA,20151106,20160331
W0YY,USA,-2,-2
KC9UDL,USA,20151104,20151018
AB4VT,USA,20151104,20151018
KD0ZWJ,USA,20151209,-2
KD9DRG,USA,-2,-2
W1DLA,USA,-2,-2
K8DFA,USA,-2,-2
KC7KPG,USA,20151104,-2
K1GND,USA,20151105,20170530
N3TWM,USA,20160208,20160315
KF7UX,USA,20151116,-2
K3ATY,USA,20151128,-2
K1INX,USA,20151104,-2
K2OQ,USA,20180829,-2
W2CCC,USA,20151219,20151019
KE5WM,USA,-2,-2
KD0QIV,USA,20151104,-2
KA0KVW,USA,-2,20151024
WD4GXY,USA,20151210,20151024
K0ELS,USA,20151229,20160322
KF6JG,USA,20151104,-2
W5KIS,USA,-2,-2
N1PVT,USA,20151105,-2
WB7VNL,USA,20151113,-2
W7AJP,USA,20160113,-2
K5SSL,USA,20151116,20151024
AG5AC,USA,-2,-2
K1GHC,USA,-2,20160422
AG5Z,USA,20151105,20151024
W7ALR,USA,-2,-2
NR1D,USA,-2,20160319
